id,label,definition
ก ๑,ร่างกาย,โครงสร้างทั้งหมดของมนุษย์และสัตว์
ก ๒,ศีรษะ,ส่วนบนสุดของร่างกาย
ก ๓,แขน,อวัยวะที่ยื่นออกจากลำตัว
ก ๕,ขา,อวัยวะที่ใช้เดิน
ก ๑๐,ตา,อวัยวะสำหรับมองเห็น
ง ๑,ผิวหนัง,ชั้นนอกของร่างกาย
ง ๒,เส้นผม,สิ่งที่ขึ้นอยู่บนศีรษะ
ง ๓,เล็บ,ส่วนแข็งของนิ้วมือ
ง ๔,กล้ามเนื้อ,เนื้อเยื่อที่ช่วยในการเคลื่อนไหว
ง ๖,ม่านตา,ส่วนหนึ่งของตา
